      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   02:38:14   4154      0   02:39:15   3171      0
 24   03:38:08   3221      0   03:52:16   3070      0
 23   03:58:22   4545      0   04:00:12   4330      0
 22   15:13:54  11142      0       >24h   8170      0
 21   00:41:11   3517      0   01:41:02   2971      0
 20   08:18:04   7740      0   12:16:48   8977      0
 19   10:37:55   5053      0   10:55:43   4157      0
 18   01:57:40   5202      0   02:57:08   4105      0
 17   04:30:04   4967      0   06:42:33   3519      0
 16   14:14:05  10270      0   17:57:00   7556      0
 15   03:42:11   9858      0   03:42:59   5658      0
 14   02:37:42   8722      0   02:42:02   7879      0
 13   02:26:47   7982      0   02:41:05   7533      0
 12   03:39:53  10652      0   03:52:54  10305      0
 11   02:25:56  10872      0   02:46:32   7668      0
 10   00:14:04   2155      0   00:25:57   1577      0
  9   00:21:34   2289      0   00:47:56   3142      0
  8   00:29:04   5327      0   01:15:12   8156      0
  7   00:27:00   1632      0   00:35:35   1762      0
  6   00:07:41   4362      0   00:12:00   5790      0
  5   00:25:24   4287      0   00:30:08   4247      0
  4   00:35:09  12550      0   00:37:54  11249      0
  3   00:10:06   2808      0   00:21:46   4289      0
  2   00:17:15   6995      0   00:23:08   5782      0
  1   00:38:13  10828      0   00:42:45  10240      0
