      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:33:41   788      0   00:34:27   705      0
 24   00:41:42   915      0   01:17:37   217      0
 23   01:02:43  2483      0   01:36:00  1086      0
 22   01:08:47  1576      0   01:39:49  1655      0
 21   00:34:14  3194      0   01:43:02   432      0
 20   00:54:08  1247      0   01:11:46   599      0
 19   00:21:30   839      0   01:18:15  1433      0
 18   01:07:18  3686      0   01:14:45  1499      0
 17   00:42:41  1091      0   00:46:43   838      0
 16   00:25:20  1154      0   00:33:14  1186      0
 15   00:04:03   763      0   00:26:42  1739      0
 14   00:14:02  2028      0   01:15:11  3123      0
 13   00:49:34  3905      0   01:53:07  4921      0
 12   00:31:37  2025      0   01:07:22  1233      0
 11   00:23:06  2682      0   00:25:20  1582      0
 10   00:30:29  1398      0   01:40:37  1875      0
  9   00:15:51  2869      0   00:19:28  2440      0
  8   00:08:45  1741      0   00:38:37  2609      0
  7   00:17:48   685      0   00:22:08   330      0
  6   00:07:21  1411      0   00:10:55  1440      0
  5   00:20:04  1345      0   01:09:43  1899      0
  4   00:05:33   936      0   00:13:20   851      0
  3   00:34:19  3734      0   00:54:10  3820      0
  2   00:07:11   538      0   00:10:44   646      0
  1   00:02:57   671      0   00:20:08  1750      0
